section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation detected in reference image,fixation x [px],fixation y [px]
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,198,1635864137238223439,1635864137454117439,215,true,2459,1157
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,199,1635864137474088439,1635864137630098439,156,true,2380,1016
91fe06da-2246-442a-a11d-89886ae81721,95833eee-cc7c-41ad-a242-b0db2e421866,200,1635864137834176439,1635864137990120439,155,true,1227,939
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,197,1636382486978838745,1636382487098934745,120,true,2939,1324
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,198,1636382487186792745,1636382487330792745,144,true,2154,1332
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,199,1636382487378798745,1636382487630806745,252,true,1363,1805
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,200,1636382487678799745,1636382487946768745,267,true,2096,1371
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,201,1636382487966779745,1636382488178859745,212,true,2382,1227
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,202,1636382488206862745,1636382488670772745,463,true,2487,1467
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,203,1636382488702805745,1636382489042787745,339,true,2295,1258
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,204,1636382489090804745,1636382489255077745,164,true,1570,1205
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,205,1636382489286780745,1636382489614723745,327,true,1382,1223
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,206,1636382489638788745,1636382489754713745,115,true,1278,1408
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,207,1636382489798779745,1636382490266807745,468,true,825,1143
